Project Name,Borough,NTA - Neighborhood Tabulation Area,Income,Rented_vs_Owned,Level of Affordable in Building
MEC E. 125TH ST. PARCEL B WEST,Manhattan,MN34,moderately_low,mostly_rented,mostly_affordable
ROCHESTER SUYDAM PHASE 1,Brooklyn,BK79,moderately_low,mostly_owned,mostly_affordable
ROCHESTER SUYDAM PHASE 1,Brooklyn,BK61,moderately_low,mostly_owned,mostly_affordable
ROCHESTER SUYDAM PHASE 1,Brooklyn,BK61,moderately_low,mostly_owned,mostly_affordable
ROCHESTER SUYDAM PHASE 1,Brooklyn,BK79,moderately_low,mostly_owned,mostly_affordable
Brook Avenue Apartments,Bronx,BX39,low,mostly_rented,mostly_affordable
Brook Avenue Apartments,Bronx,BX39,low,mostly_rented,mostly_affordable
Mermaid  / West. 16th Street,Brooklyn,BK21,moderately_low,mostly_rented,mostly_affordable
Mermaid  / West. 16th Street,Brooklyn,BK21,moderately_low,mostly_rented,mostly_affordable
Mermaid  / West. 16th Street,Brooklyn,BK21,moderately_low,mostly_rented,mostly_affordable
Mermaid  / West. 16th Street,Brooklyn,BK21,moderately_low,mostly_rented,mostly_affordable
Mermaid  / West. 16th Street,Brooklyn,BK21,moderately_low,mostly_rented,mostly_affordable
Mermaid  / West. 16th Street,Brooklyn,BK21,moderately_low,mostly_rented,mostly_affordable
Mermaid  / West. 16th Street,Brooklyn,BK21,moderately_low,mostly_rented,mostly_affordable
Home for Harlem Dowling,Manhattan,MN03,low,mostly_rented,mostly_affordable
WSFSSH. 145 WEST 108TH ST. VALLEY LODGE,Manhattan,MN09,very_low,mostly_rented,mostly_affordable
CULVER EL PHASE I,Brooklyn,BK88,moderately_low,mostly_owned,mostly_affordable
CULVER EL PHASE I,Brooklyn,BK88,moderately_low,mostly_owned,mostly_affordable
CULVER EL PHASE I,Brooklyn,BK88,moderately_low,mostly_owned,mostly_affordable
CULVER EL PHASE I,Brooklyn,BK88,moderately_low,mostly_owned,mostly_affordable
CULVER EL PHASE I,Brooklyn,BK88,moderately_low,mostly_owned,mostly_affordable
CULVER EL PHASE I,Brooklyn,BK88,moderately_low,mostly_owned,mostly_affordable
CULVER EL PHASE I,Brooklyn,BK88,moderately_low,mostly_owned,mostly_affordable
CULVER EL PHASE I,Brooklyn,BK88,moderately_low,mostly_owned,mostly_affordable
CULVER EL PHASE I,Brooklyn,BK88,moderately_low,mostly_owned,mostly_affordable
ELTON CROSSING (AKA MELROSE COMMONS NORTH SITE C),Bronx,BX35,low,mostly_rented,mostly_affordable
STANLEY COMMONS,Brooklyn,BK82,low,mostly_rented,mostly_affordable
STANLEY COMMONS,Brooklyn,BK82,low,mostly_rented,mostly_affordable
STANLEY COMMONS,Brooklyn,BK82,low,mostly_rented,mostly_affordable
STANLEY COMMONS,Brooklyn,BK82,low,mostly_rented,mostly_affordable
STANLEY COMMONS,Brooklyn,BK82,low,mostly_rented,mostly_affordable
STANLEY COMMONS,Brooklyn,BK82,low,mostly_rented,mostly_affordable
NYCHA FULTON HOUSES,Manhattan,MN13,moderately_low,mostly_rented,mostly_affordable
VAN BUREN/GREENE,Brooklyn,BK35,moderately_low,unclear,mostly_affordable
VAN BUREN/GREENE,Brooklyn,BK75,moderately_low,unclear,mostly_affordable
VAN BUREN/GREENE,Brooklyn,BK35,moderately_low,unclear,mostly_affordable
VAN BUREN/GREENE,Brooklyn,BK75,moderately_low,unclear,mostly_affordable
VAN BUREN/GREENE,Brooklyn,BK75,moderately_low,unclear,mostly_affordable
VAN BUREN/GREENE,Brooklyn,BK75,moderately_low,unclear,mostly_affordable
VAN BUREN/GREENE,Brooklyn,BK75,moderately_low,unclear,mostly_affordable
VAN BUREN/GREENE,Brooklyn,BK75,moderately_low,unclear,mostly_affordable
VAN BUREN/GREENE,Brooklyn,BK75,moderately_low,unclear,mostly_affordable
VAN BUREN/GREENE,Brooklyn,BK75,moderately_low,unclear,mostly_affordable
DEAN STREET RESIDENCES CONDOMINIUM,Brooklyn,BK79,low,mostly_owned,mostly_affordable
DEAN STREET RESIDENCES CONDOMINIUM,Brooklyn,BK79,low,mostly_owned,mostly_affordable
DEAN STREET RESIDENCES CONDOMINIUM,Brooklyn,BK79,low,mostly_owned,mostly_affordable
DEAN STREET RESIDENCES CONDOMINIUM,Brooklyn,BK79,low,mostly_owned,mostly_affordable
Van Sinderen Plaza,Brooklyn,BK85,low,mostly_rented,mostly_affordable
Van Sinderen Plaza,Brooklyn,BK85,low,mostly_rented,mostly_affordable
Williamsburg Apartments,Brooklyn,BK73,low,mostly_rented,mostly_affordable
Williamsburg Apartments,Brooklyn,BK73,low,mostly_rented,mostly_affordable
Williamsburg Apartments,Brooklyn,BK73,low,mostly_rented,mostly_affordable
Williamsburg Apartments,Brooklyn,BK73,low,mostly_rented,mostly_affordable
Clinton URA Site 7/CHDC,Manhattan,MN15,moderately_low,mostly_rented,mostly_affordable
HOPKINSON/PARK PLACE,Brooklyn,BK79,low,mostly_owned,mostly_affordable
HOPKINSON/PARK PLACE,Brooklyn,BK79,low,mostly_owned,mostly_affordable
HIGHBRIDGE CDC. 1448 PLIMPTON AVE. ARTSBRIDGE,Bronx,BX26,very_low,mostly_rented,mostly_affordable
BRONX COMMONS,Bronx,BX35,low,mostly_rented,mostly_affordable
BLAKE/HENDRIX,Brooklyn,BK82,moderately_low,unclear,mostly_affordable
BLAKE/HENDRIX,Brooklyn,BK85,moderately_low,mostly_rented,mostly_affordable
BLAKE/HENDRIX,Brooklyn,BK85,moderately_low,mostly_rented,mostly_affordable
BLAKE/HENDRIX,Brooklyn,BK85,moderately_low,mostly_rented,mostly_affordable
BLAKE/HENDRIX,Brooklyn,BK82,moderately_low,unclear,mostly_affordable
BLAKE/HENDRIX,Brooklyn,BK82,moderately_low,unclear,mostly_affordable
BLAKE/HENDRIX,Brooklyn,BK82,moderately_low,unclear,mostly_affordable
BLAKE/HENDRIX,Brooklyn,BK82,moderately_low,unclear,mostly_affordable
BLAKE/HENDRIX,Brooklyn,BK85,moderately_low,mostly_rented,mostly_affordable
BLAKE/HENDRIX,Brooklyn,BK82,moderately_low,unclear,mostly_affordable
BLAKE/HENDRIX,Brooklyn,BK82,moderately_low,unclear,mostly_affordable
BLAKE/HENDRIX,Brooklyn,BK82,moderately_low,unclear,mostly_affordable
BLAKE/HENDRIX,Brooklyn,BK82,moderately_low,unclear,mostly_affordable
Crossroads Plaza- Rental Low,Bronx,BX39,low,mostly_rented,mostly_affordable
Walison. 280-282 E. Burnside Ave. Burnside Walton,Bronx,BX41,low,mostly_rented,mostly_affordable
Walison. 280-282 E. Burnside Ave. Burnside Walton,Bronx,BX40,very_low,mostly_rented,mostly_affordable
Acacia Gardens,Manhattan,MN34,low,mostly_rented,mostly_affordable
Navy Green (Building R2),Brooklyn,BK68,moderately_low,mostly_owned,mostly_affordable
2264 Morris Avenue,Bronx,BX40,low,mostly_rented,mostly_affordable
Crotona Terrace II,Bronx,BX75,low,mostly_rented,mostly_affordable
WESTCHESTER MEWS,Bronx,BX59,low,mostly_rented,mostly_affordable
WESTCHESTER MEWS,Bronx,BX59,low,mostly_rented,mostly_affordable
CYPRESS. 137 JAMAICA AVENUE,Brooklyn,BK83,very_low,mostly_rented,mostly_affordable
Prospect Plaza Redevelopment,Brooklyn,BK79,low,mostly_rented,mostly_affordable
Prospect Plaza Redevelopment,Brooklyn,BK79,low,mostly_rented,mostly_affordable
High Hawk,Bronx,BX75,moderately_low,mostly_rented,mostly_affordable
HARLEN PARK 70 WEST 139TH STREET,Manhattan,MN03,moderately_low,mostly_owned,mixed_aff_and_stand
West Farms/Longfellow Ave,Bronx,BX17,low,mostly_rented,mostly_affordable
West Farms/Longfellow Ave,Bronx,BX17,low,mostly_rented,mostly_affordable
1490 CROTONA PARK EAST,Bronx,BX99,low,mostly_rented,mostly_affordable
211 West 147 Street,Manhattan,MN03,low,mostly_owned,mostly_affordable
152 EAST 116TH STREET,Manhattan,MN34,moderately_low,mostly_owned,mostly_affordable
46-48 East 129 Street,Manhattan,MN03,low,mostly_owned,mostly_affordable
748 Beck Street,Bronx,BX33,low,mostly_owned,mostly_affordable
TBX902 - Banana Kelly,Bronx,BX33,low,mostly_rented,mostly_affordable
TBX902 - Banana Kelly,Bronx,BX27,low,mostly_rented,mostly_affordable
TBX602-Bronx Pro,Bronx,BX36,moderately_low,mostly_rented,mostly_affordable
TBX901-RSE,Bronx,BX35,low,mostly_rented,mostly_affordable
TBX901-RSE,Bronx,BX01,low,mostly_rented,mostly_affordable
165 WEST 80TH STREET,Manhattan,MN12,low,mostly_rented,mostly_affordable
"Harlem Cluster-Artimus Construction, Inc.",Manhattan,MN11,moderately_low,mostly_rented,mostly_affordable
"Harlem Cluster-Artimus Construction, Inc.",Manhattan,MN11,moderately_low,mostly_rented,mostly_affordable
"Harlem Cluster-Artimus Construction, Inc.",Manhattan,MN03,low,mostly_rented,mostly_affordable
"Harlem Cluster-Artimus Construction, Inc.",Manhattan,MN03,low,mostly_rented,mostly_affordable
"Harlem Cluster-Artimus Construction, Inc.",Manhattan,MN03,low,mostly_rented,mostly_affordable
"Harlem Cluster-Artimus Construction, Inc.",Manhattan,MN03,moderately_low,mostly_rented,mostly_affordable
MMN1802 - CLOTH AMSTERDAM AVENUE,Manhattan,MN03,low,mostly_rented,mostly_affordable
MMN1802 - CLOTH AMSTERDAM AVENUE,Manhattan,MN03,low,mostly_rented,mostly_affordable
MMN1802 - CLOTH AMSTERDAM AVENUE,Manhattan,MN36,low,mostly_rented,mostly_affordable
MMN1802 - CLOTH AMSTERDAM AVENUE,Manhattan,MN36,low,mostly_rented,mostly_affordable
TBX910 - Lemle & Wolff,Bronx,BX41,low,mostly_rented,mostly_affordable
TBX910 - Lemle & Wolff,Bronx,BX63,low,mostly_rented,mostly_affordable
TBX910 - Lemle & Wolff,Bronx,BX27,low,mostly_rented,mostly_affordable
TBX910 - Lemle & Wolff,Bronx,BX30,low,mostly_rented,mostly_affordable
TMN904 - PRECISE,Manhattan,MN11,low,mostly_rented,mostly_affordable
TMN904 - PRECISE,Manhattan,MN11,low,mostly_rented,mostly_affordable
TMN904 - PRECISE,Manhattan,MN11,low,mostly_rented,mostly_affordable
TMN904 - PRECISE,Manhattan,MN06,low,mostly_rented,mostly_affordable
TMN904 - PRECISE,Manhattan,MN03,low,mostly_rented,mostly_affordable
TMN904 - PRECISE,Manhattan,MN03,low,mostly_rented,mostly_affordable
TBK902 - Shinda,Brooklyn,BK61,moderately_low,mostly_rented,mostly_affordable
TBK902 - Shinda,Brooklyn,BK69,moderately_low,mostly_rented,mostly_affordable
TBK902 - Shinda,Brooklyn,BK79,low,mostly_rented,mostly_affordable
TBK902 - Shinda,Brooklyn,BK79,low,mostly_rented,mostly_affordable
TBK902 - Shinda,Brooklyn,BK79,low,mostly_rented,mostly_affordable
TBK902 - Shinda,Brooklyn,BK79,moderately_low,mostly_rented,mostly_affordable
TBK902 - Shinda,Brooklyn,BK78,moderately_low,unclear,mostly_standard
LANTERN. 330-332 WEST 51ST ST. STARDOM HALL,Manhattan,MN15,low,mostly_rented,mostly_affordable
BRIDGE.425 E 161ST ST. MELROSE SITE C SHLP PORTION,Bronx,BX35,very_low,mostly_rented,mostly_affordable
